<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,20240111,1.0451,1.2,0.9208,1.02,55400
AACIW,20240111,0.026,0.03,0.018,0.0181,12000
AADI,20240111,1.79,1.79,1.7,1.71,375600
AADR,20240111,54.86,54.86,54.78,54.78,300
AAGR,20240111,0.875,0.9,0.7957,0.8596,712300
AAGRW,20240111,0.02,0.02,0.0151,0.0151,237300
AAL,20240111,14.48,14.63,14.24,14.59,33047600
AAME,20240111,2.46,2.75,2.45,2.51,19100
AAOI,20240111,21.66,21.83,16.701,18.34,8288100
AAON,20240111,71.58,72.13,70.72,71.33,361400
AAPB,20240111,21.62,21.69,21.025,21.4,26400
AAPD,20240111,20.83,21.16,20.78,20.95,168500
AAPL,20240111,186.54,187.05,183.62,185.59,49128400
AAPU,20240111,26.06,26.11,25.44,25.82,133700
AAXJ,20240111,64.15,64.34,63.785,64.3,2158600
ABAT,20240111,3.9,3.925,3.6,3.62,471500
ABCB,20240111,50.87,51.23,49.72,51.18,365200
ABCL,20240111,5.59,5.6,5.41,5.45,1157600
ABCS,20240111,24.98,25.01,24.94,24.9489,13800
ABEO,20240111,5.42,5.42,5.1,5.35,171000
ABIO,20240111,1.64,1.7,1.629,1.63,21700
ABL,20240111,10.7,11.7,10.7,11.25,38300
ABLLL,20240111,25.38,25.435,25.38,25.435,3400
ABLLW,20240111,0.91,0.96,0.88,0.93,74200
ABLV,20240111,2.7,2.866,2.65,2.72,3100
ABNB,20240111,140.71,141.2,137.55,139.45,2383500
ABOS,20240111,4.26,4.26,3.86,3.87,520300
ABSI,20240111,4.6,4.62,4.02,4.13,1769600
ABTS,20240111,1.44,1.44,1.1,1.1,260700
ABUS,20240111,2.4,2.4,2.31,2.37,547900
ABVC,20240111,1.51,1.55,1.42,1.47,530200
ABVX,20240111,11.165,11.38,10.8932,11.09,67800
ACAD,20240111,29.02,29.3,27.93,28.8,1889400
ACB,20240111,0.455,0.455,0.4381,0.45,4058600
ACBA,20240111,11.964,11.964,11.964,11.964,400
ACCD,20240111,15,15.21,14.24,14.54,1348600
ACDC,20240111,7.45,7.45,7.12,7.38,748100
ACET,20240111,3.32,3.32,2.94,3.04,862300
ACGL,20240111,77.25,77.72,76.82,77.62,1314900
